,Unnamed: 0,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I
70,20,MEK Hussey (AUS),2005-2012,38,38,20,20,0,0,20,3 (3ct 0st),0.526
71,21,RA Jadeja (INDIA),2009-2019,46,46,20,20,0,0,20,2 (2ct 0st),0.434
72,22,C Kieswetter (ENG),2010-2012,25,25,20,17,3,17,0,3 (2ct 1st),0.8
73,23,SL Malinga (SL),2006-2019,79,79,20,20,0,0,20,2 (2ct 0st),0.253
74,24,CO Obuya (KENYA),2007-2019,35,35,20,20,0,0,20,2 (2ct 0st),0.5710000000000001
75,25,L Siaka (PNG),2015-2019,26,26,20,20,0,0,20,4 (4ct 0st),0.769
76,26,LMP Simmons (WI),2007-2019,49,49,20,20,0,1,19,3 (3ct 0st),0.408
77,27,SR Watson (AUS),2006-2016,58,58,20,20,0,0,20,2 (2ct 0st),0.344
78,28,HM Amla (SA/World),2009-2018,44,44,19,19,0,0,19,2 (2ct 0st),0.431
79,29,CJ Anderson (NZ),2012-2018,31,31,19,19,0,0,19,4 (4ct 0st),0.612
80,30,MV Boucher (SA),2005-2010,25,25,19,18,1,18,0,3 (3ct 0st),0.76
81,31,CR Brathwaite (WI),2011-2019,41,41,19,19,0,0,19,2 (2ct 0st),0.46299999999999997
82,32,E Chigumbura (ZIM),2006-2019,54,54,19,19,0,0,19,2 (2ct 0st),0.35100000000000003
83,33,KJ Coetzer (SCOT),2008-2019,58,56,19,19,0,0,19,2 (2ct 0st),0.33899999999999997
84,34,KD Karthik (ICC/INDIA),2006-2019,32,31,19,14,5,6,8,3 (3ct 0st),0.612
85,35,R Mutumbami (ZIM),2015-2019,22,22,19,15,4,11,4,4 (4ct 0st),0.863
86,36,RR Patel (KENYA),2008-2019,30,30,19,19,0,0,19,3 (3ct 0st),0.633
87,37,Shakib Al Hasan (BDESH),2006-2019,76,75,19,19,0,0,19,2 (2ct 0st),0.253
88,38,BRM Taylor (ZIM),2006-2019,38,38,19,17,2,15,2,3 (3ct 0st),0.5
89,39,RE van der Merwe (NL/SA),2009-2019,43,42,19,19,0,0,19,2 (2ct 0st),0.452
90,40,C de Grandhomme (NZ),2012-2019,33,33,18,18,0,0,18,4 (4ct 0st),0.545
91,41,S Dhawan (INDIA),2011-2019,58,58,18,18,0,0,18,2 (2ct 0st),0.31
92,42,Gulbadin Naib (AFG),2012-2019,45,45,18,18,0,0,18,2 (2ct 0st),0.4
93,43,MA Leask (SCOT),2013-2019,31,29,18,18,0,0,18,3 (3ct 0st),0.62
94,44,C Munro (NZ),2012-2019,60,59,18,18,0,0,18,2 (2ct 0st),0.305
95,45,JE Root (ENG),2012-2019,32,32,18,18,0,0,18,2 (2ct 0st),0.562
96,46,Samiullah Shinwari (AFG),2010-2019,62,62,18,18,0,0,18,1 (1ct 0st),0.29
97,47,GC Smith (SA),2005-2011,33,33,18,18,0,0,18,2 (2ct 0st),0.545
98,48,Tamim Iqbal (BDESH/ICC/World),2007-2018,75,73,18,18,0,0,18,2 (2ct 0st),0.24600000000000002
99,49,Umar Gul (PAK),2007-2016,60,60,18,18,0,0,18,2 (2ct 0st),0.3
100,0,J Botha (SA),2006-2012,40,40,17,17,0,0,17,2 (2ct 0st),0.425
101,1,AC Gilchrist (AUS),2005-2008,13,13,17,17,0,17,0,4 (4ct 0st),1.307
102,2,DPMD Jayawardene (SL),2006-2014,55,55,17,17,0,0,17,2 (2ct 0st),0.309
103,3,CK Kapugedera (SL),2006-2017,43,43,17,17,0,0,17,3 (3ct 0st),0.395
104,4,KMDN Kulasekara (SL),2008-2017,58,58,17,17,0,0,17,2 (2ct 0st),0.293
105,5,JA Morkel (SA),2005-2015,50,50,17,17,0,0,17,2 (2ct 0st),0.34
106,6,MDKJ Perera (SL),2013-2019,42,42,17,13,4,7,6,3 (2ct 1st),0.40399999999999997
107,7,Sikandar Raza (ZIM),2013-2019,32,32,17,17,0,0,17,2 (2ct 0st),0.531
108,8,BDH Stevens (JER),2019-2019,17,17,17,17,0,0,17,3 (3ct 0st),1.0
109,9,Sultan Ahmed (OMAN),2015-2017,17,16,17,14,3,14,0,3 (3ct 0st),1.062
110,10,Babar Hayat (HKG),2014-2017,24,24,16,16,0,0,16,4 (4ct 0st),0.6659999999999999
111,11,SW Billings (ENG/ICC),2015-2019,26,26,16,15,1,4,11,3 (2ct 1st),0.615
112,12,K Doriga (PNG),2019-2019,17,17,16,15,1,15,0,5 (5ct 0st),0.941
113,13,Hamza Tariq (CAN),2013-2019,15,15,16,12,4,12,0,3 (3ct 0st),1.0659999999999998
114,14,JW Jenner (JER),2019-2019,17,17,16,16,0,0,16,4 (4ct 0st),0.941
115,15,P Khadka (NEPAL),2014-2019,30,30,16,16,0,0,16,3 (3ct 0st),0.5329999999999999
116,16,Nawroz Mangal (AFG),2010-2017,32,32,16,16,0,0,16,3 (3ct 0st),0.5
117,17,AM Rahane (INDIA),2011-2016,20,20,16,16,0,0,16,4 (4ct 0st),0.8
118,18,WB Rankin (ENG/IRE),2009-2019,48,47,16,16,0,0,16,2 (2ct 0st),0.34
119,19,Rashid Khan (AFG/ICC),2015-2019,45,45,16,16,0,0,16,2 (2ct 0st),0.355
120,20,Shafiqullah (AFG),2010-2019,46,46,16,14,2,1,13,3 (3ct 0st),0.34700000000000003
121,21,Ahmed Shehzad (PAK),2009-2019,59,59,15,15,0,0,15,2 (2ct 0st),0.254
122,22,Babar Azam (PAK),2016-2019,36,36,15,15,0,0,15,2 (2ct 0st),0.41600000000000004
123,23,B Bhandari (NEPAL),2014-2019,27,27,15,10,5,7,3,3 (3ct 0st),0.555
124,24,PD Collingwood (ENG/World),2005-2017,36,36,15,15,0,0,15,2 (2ct 0st),0.41600000000000004
125,25,CH Gayle (WI),2006-2019,58,58,15,15,0,0,15,1 (1ct 0st),0.258
126,26,Ghulam Shabber (UAE),2016-2019,17,17,15,14,1,14,0,2 (2ct 0st),0.882
127,27,ZE Green (NAM),2019-2019,16,16,15,10,5,10,0,4 (3ct 1st),0.937
128,28,Nasir Hossain (BDESH),2011-2016,31,30,15,15,0,0,15,2 (2ct 0st),0.5
129,29,SW Poynter (IRE),2015-2019,25,23,15,13,2,8,5,2 (2ct 0st),0.652
130,30,MS Wade (AUS),2011-2016,26,26,15,13,2,13,0,3 (2ct 1st),0.5760000000000001
131,31,CAK Walton (WI),2014-2018,19,19,15,13,2,10,3,3 (3ct 0st),0.789
132,32,SC Williams (ZIM),2006-2019,38,38,15,15,0,0,15,2 (2ct 0st),0.39399999999999996
133,33,JJ Atkinson (HKG),2014-2016,13,13,14,14,0,14,0,3 (3ct 0st),1.0759999999999998
134,34,A Balbirnie (IRE),2015-2019,37,35,14,14,0,0,14,2 (2ct 0st),0.4
135,35,F Behardien (SA),2012-2018,38,38,14,14,0,0,14,2 (2ct 0st),0.368
136,36,Fakhar Zaman (PAK),2017-2019,34,34,14,14,0,0,14,2 (2ct 0st),0.41100000000000003
137,37,Imad Wasim (PAK),2015-2019,41,41,14,14,0,0,14,2 (2ct 0st),0.341
138,38,IA Karim (KENYA),2013-2019,16,16,14,11,3,9,2,5 (2ct 3st),0.875
139,39,G Malla (NEPAL),2014-2019,24,24,14,14,0,0,14,3 (3ct 0st),0.583
140,40,Misbah-ul-Haq (PAK),2007-2012,39,39,14,14,0,0,14,2 (2ct 0st),0.358
141,41,MP O'Dowd (NL),2015-2019,36,35,14,14,0,0,14,2 (2ct 0st),0.4
142,42,KP Pietersen (ENG),2005-2013,37,36,14,14,0,0,14,3 (3ct 0st),0.38799999999999996
143,43,MJ Santner (NZ),2015-2019,39,38,14,14,0,0,14,2 (2ct 0st),0.368
144,44,A Vala (PNG),2015-2019,26,26,14,14,0,0,14,3 (3ct 0st),0.5379999999999999
145,45,J Vira (VAN),2019-2019,14,14,14,10,4,10,0,3 (3ct 0st),1.0
146,46,LJ Wright (ENG),2007-2014,51,50,14,14,0,0,14,2 (2ct 0st),0.28
147,47,AC Agar (AUS),2016-2019,21,21,13,13,0,0,13,2 (2ct 0st),0.619
148,48,Ahmed Raza (UAE),2014-2019,36,36,13,13,0,0,13,2 (2ct 0st),0.361
149,49,Ahsan Malik (NL),2012-2017,31,30,13,13,0,0,13,2 (2ct 0st),0.433
150,0,TC Bruce (NZ),2017-2019,15,14,13,13,0,1,12,3 (3ct 0st),0.9279999999999999
151,1,MJ Clarke (AUS),2005-2010,34,34,13,13,0,0,13,2 (2ct 0st),0.382
152,2,NM Coulter-Nile (AUS),2013-2019,28,27,13,13,0,0,13,2 (2ct 0st),0.48100000000000004
153,3,JEC Franklin (NZ),2006-2013,38,38,13,13,0,0,13,2 (2ct 0st),0.342
154,4,Liton Das (BDESH),2015-2019,25,25,13,13,0,0,13,2 (2ct 0st),0.52
155,5,JF Mooney (IRE),2009-2015,27,27,13,13,0,0,13,2 (2ct 0st),0.48100000000000004
156,6,MA Ouma (KENYA),2007-2013,22,22,13,8,5,8,0,2 (2ct 0st),0.59
157,7,TD Paine (AUS/World),2009-2017,12,12,13,11,2,11,0,3 (3ct 0st),1.083
158,8,SP Patil (UAE),2014-2016,18,18,13,9,4,9,0,2 (2ct 0st),0.722
159,9,KL Rahul (INDIA),2016-2019,34,34,13,13,0,0,13,2 (2ct 0st),0.382
160,10,Aamir Kaleem (OMAN),2015-2019,25,24,12,12,0,0,12,2 (2ct 0st),0.5
161,11,TA Boult (NZ),2013-2019,27,27,12,12,0,0,12,3 (3ct 0st),0.444
162,12,J Charles (WI),2011-2016,34,34,12,10,2,0,10,2 (2ct 0st),0.35200000000000004
163,13,JH Davey (SCOT),2012-2019,21,20,12,12,0,0,12,2 (2ct 0st),0.6
164,14,CR Ervine (ZIM),2010-2019,22,22,12,12,0,0,12,3 (3ct 0st),0.545
165,15,HG Munsey (SCOT),2015-2019,38,36,12,12,0,0,12,3 (3ct 0st),0.33299999999999996
166,16,Nadeem Ahmed (HKG),2014-2017,24,24,12,12,0,0,12,2 (2ct 0st),0.5
167,17,JDP Oram (NZ),2005-2012,36,36,12,12,0,0,12,2 (2ct 0st),0.33299999999999996
168,18,Saeed Ajmal (PAK),2009-2015,64,64,12,12,0,0,12,2 (2ct 0st),0.187
169,19,MN Samuels (WI),2007-2018,67,67,12,12,0,0,12,2 (2ct 0st),0.179
170,20,TL Seifert (NZ),2018-2019,19,19,12,8,4,8,0,2 (2ct 0st),0.631
171,21,V Sibanda (ZIM),2007-2016,26,26,12,12,0,0,12,3 (3ct 0st),0.461
172,22,Tamoor Sajjad (QAT),2019-2019,12,12,12,12,0,0,12,2 (2ct 0st),1.0
173,23,HA Varaiya (KENYA),2007-2013,25,25,12,12,0,0,12,2 (2ct 0st),0.48
174,24,DJ Willey (ENG),2015-2019,28,28,12,12,0,0,12,2 (2ct 0st),0.428
175,25,Younis Khan (PAK),2006-2010,25,25,12,12,0,0,12,2 (2ct 0st),0.48
176,26,Yuvraj Singh (INDIA),2007-2017,58,57,12,12,0,0,12,2 (2ct 0st),0.21
177,27,A Bagai (CAN),2008-2013,9,9,11,5,6,5,0,2 (1ct 1st),1.222
178,28,S Chandramohan (SGP),2019-2019,12,12,11,11,0,0,11,3 (3ct 0st),0.9159999999999999
179,29,TH David (SGP),2019-2019,12,12,11,11,0,0,11,4 (4ct 0st),0.9159999999999999
180,30,N Davin (NAM),2019-2019,16,16,11,11,0,0,11,3 (3ct 0st),0.687
181,31,JSE Dunford (JER),2019-2019,17,17,11,6,5,6,0,1 (1ct 0st),0.647
182,32,MG Erasmus (NAM),2019-2019,16,16,11,11,0,0,11,2 (2ct 0st),0.687
183,33,JP Faulkner (AUS),2012-2017,24,24,11,11,0,0,11,2 (2ct 0st),0.45799999999999996
184,34,G Gambhir (INDIA),2007-2012,37,36,11,11,0,0,11,2 (2ct 0st),0.305
185,35,Imran Nazir (PAK),2007-2012,25,25,11,11,0,0,11,2 (2ct 0st),0.44
186,36,Jatinder Singh (OMAN),2015-2019,25,25,11,11,0,0,11,2 (2ct 0st),0.44
187,37,Khawar Ali (OMAN),2015-2019,29,28,11,11,0,0,11,2 (2ct 0st),0.392
188,38,Mohammed Rizlan (QAT),2019-2019,15,15,11,8,3,8,0,3 (2ct 1st),0.733
189,39,PL Mommsen (SCOT),2012-2016,24,22,11,11,0,0,11,2 (2ct 0st),0.5
190,40,GD Phillips (NZ),2017-2018,11,10,11,9,2,7,2,4 (3ct 1st),1.1
191,41,Rizwan Cheema (CAN),2008-2019,24,24,11,11,0,0,11,2 (2ct 0st),0.45799999999999996
192,42,Rohan Mustafa (UAE),2014-2019,38,38,11,11,0,0,11,2 (2ct 0st),0.289
193,43,AD Russell (WI),2011-2018,47,47,11,11,0,0,11,2 (2ct 0st),0.23399999999999999
194,44,Shadab Khan (PAK),2017-2019,38,38,11,11,0,0,11,1 (1ct 0st),0.289
195,45,Shaiman Anwar (UAE),2014-2019,32,32,11,11,0,0,11,2 (2ct 0st),0.34299999999999997
196,46,DW Steyn (SA),2007-2019,44,44,11,11,0,0,11,1 (1ct 0st),0.25
197,47,T Taibu (ZIM),2007-2012,17,17,11,6,5,6,0,3 (0ct 3st),0.647
198,48,PA van Meekeren (NL),2013-2019,41,39,11,11,0,0,11,2 (2ct 0st),0.282
199,49,D Weston (GER),2019-2019,6,6,11,9,2,9,0,4 (3ct 1st),1.8330000000000002
200,0,Abdur Razzak (BDESH),2006-2014,34,33,10,10,0,0,10,2 (2ct 0st),0.303
201,1,GJ Bailey (AUS/World),2012-2017,30,30,10,10,0,0,10,2 (2ct 0st),0.33299999999999996
202,2,SJ Benn (WI),2008-2016,24,24,10,10,0,0,10,3 (3ct 0st),0.41600000000000004
203,3,TT Bresnan (ENG),2006-2014,34,34,10,10,0,0,10,2 (2ct 0st),0.294
204,4,RP Burl (ZIM),2018-2019,16,16,10,10,0,0,10,2 (2ct 0st),0.625
205,5,SS Cottrell (WI),2014-2019,22,22,10,10,0,0,10,2 (2ct 0st),0.45399999999999996
206,6,N Dickwella (SL),2016-2019,23,23,10,10,0,9,1,2 (2ct 0st),0.434
207,7,R Escobar (Arg),2019-2019,5,5,10,7,3,7,0,3 (3ct 0st),2.0
208,8,FJ Klaassen (NL),2018-2019,21,20,10,10,0,0,10,2 (2ct 0st),0.5
209,9,Mashrafe Mortaza (BDESH),2006-2017,54,53,10,10,0,0,10,3 (3ct 0st),0.188
210,10,Nizakat Khan (HKG),2014-2019,34,34,10,10,0,0,10,2 (2ct 0st),0.294
211,11,JL Ontong (SA),2008-2015,14,14,10,10,0,0,10,3 (3ct 0st),0.7140000000000001
212,12,RJ Peterson (SA),2006-2014,21,21,10,10,0,0,10,2 (2ct 0st),0.47600000000000003
213,13,AU Rashid (ENG),2009-2019,40,40,10,10,0,0,10,2 (2ct 0st),0.25
214,14,SM Sharif (SCOT),2012-2019,42,41,10,10,0,0,10,2 (2ct 0st),0.243
215,15,JJ Smit (NAM),2019-2019,12,12,10,10,0,0,10,3 (3ct 0st),0.833
216,16,LJ Tucker (IRE),2016-2019,14,14,10,10,0,2,8,2 (2ct 0st),0.7140000000000001
217,17,Usman Ghani (AFG),2015-2019,19,19,10,10,0,0,10,2 (2ct 0st),0.526
218,18,Asif Ali (PAK),2018-2019,25,25,9,9,0,0,9,1 (1ct 0st),0.36
219,19,Mudassar Bukhari (NL),2008-2016,38,36,9,9,0,0,9,2 (2ct 0st),0.25
220,20,CJ Chibhabha (ZIM),2006-2018,33,33,9,9,0,0,9,2 (2ct 0st),0.272
221,21,MD Gunathilaka (SL),2016-2019,21,21,9,9,0,0,9,3 (3ct 0st),0.428
222,22,DT Johnston (IRE),2008-2013,30,28,9,9,0,0,9,3 (3ct 0st),0.321
223,23,Karan KC (NEPAL),2015-2019,25,25,9,9,0,0,9,2 (2ct 0st),0.36
224,24,E Lewis (WI),2016-2019,29,29,9,9,0,0,9,2 (2ct 0st),0.31
225,25,PD McGlashan (NZ),2006-2010,11,11,9,9,0,9,0,3 (3ct 0st),0.818
226,26,Manpreet Singh (ITA),2019-2019,8,7,9,6,3,6,0,4 (3ct 1st),1.285
227,27,Mohamed Azzam (Mald),2019-2019,7,7,9,8,1,8,0,3 (3ct 0st),1.285
228,28,J Mubarak (SL),2007-2009,16,16,9,9,0,0,9,2 (2ct 0st),0.562
229,29,Mustafizur Rahman (BDESH),2015-2019,37,37,9,9,0,0,9,3 (3ct 0st),0.243
230,30,SO Ngoche (KENYA),2010-2019,28,28,9,9,0,0,9,2 (2ct 0st),0.321
231,31,RR Pant (INDIA),2017-2019,26,26,9,6,3,4,2,2 (2ct 0st),0.34600000000000003
232,32,YK Pathan (INDIA),2007-2012,22,22,9,9,0,0,9,2 (2ct 0st),0.409
233,33,R Powell (WI),2017-2019,23,23,9,9,0,0,9,2 (2ct 0st),0.391
234,34,MJ Prior (ENG),2007-2010,10,10,9,6,3,6,0,4 (4ct 0st),0.9
235,35,DMW Rawlins (BMUDA),2019-2019,11,11,9,9,0,0,9,3 (3ct 0st),0.818
236,36,JA Richardson (AUS),2017-2019,9,9,9,9,0,0,9,2 (2ct 0st),1.0
237,37,RR Rossouw (SA),2014-2016,15,15,9,9,0,0,9,3 (3ct 0st),0.6
238,38,CJO Smith (SCOT),2007-2009,8,7,9,5,4,5,0,2 (2ct 0st),1.285
239,39,IS Sodhi (NZ),2014-2019,40,39,9,9,0,0,9,1 (1ct 0st),0.23
240,40,MC Sorensen (IRE),2012-2016,26,24,9,9,0,0,9,2 (2ct 0st),0.375
241,41,BA Stokes (ENG),2011-2018,23,22,9,9,0,0,9,3 (3ct 0st),0.409
242,42,Sultan Ahmed (UAE),2017-2019,17,17,9,9,0,0,9,3 (3ct 0st),0.529
243,43,Suraj Kumar (OMAN),2019-2019,13,13,9,7,2,7,0,2 (2ct 0st),0.6920000000000001
244,44,JE Taylor (WI),2006-2018,30,30,9,9,0,0,9,1 (1ct 0st),0.3
245,45,T van der Gugten (NL),2012-2019,39,38,9,9,0,0,9,2 (2ct 0st),0.23600000000000002
246,46,DL Vettori (NZ),2007-2014,34,34,9,9,0,0,9,2 (2ct 0st),0.264
247,47,CD Wallace (SCOT),2012-2019,19,18,9,7,2,6,1,2 (2ct 0st),0.5
248,48,MN Waller (ZIM),2011-2018,32,32,9,9,0,0,9,1 (1ct 0st),0.281
249,49,D Wiese (SA),2013-2016,20,20,9,9,0,0,9,2 (2ct 0st),0.45
250,0,Zaheer Ibrahim (QAT),2019-2019,13,13,9,9,0,0,9,3 (3ct 0st),0.6920000000000001
251,1,Aizaz Khan (HKG),2014-2019,30,30,8,8,0,0,8,2 (2ct 0st),0.266
252,2,R Ashwin (INDIA),2010-2017,46,46,8,8,0,0,8,1 (1ct 0st),0.17300000000000001
253,3,S Bau (PNG),2016-2019,23,23,8,8,0,0,8,3 (3ct 0st),0.34700000000000003
254,4,DG Blampied (JER),2019-2019,17,17,8,8,0,0,8,2 (2ct 0st),0.47
255,5,AC Botha (IRE),2008-2010,14,13,8,8,0,0,8,2 (2ct 0st),0.615
256,6,JW Dernbach (ENG),2011-2014,34,33,8,8,0,0,8,2 (2ct 0st),0.242
257,7,JN Frylinck (NAM),2019-2019,14,14,8,8,0,0,8,2 (2ct 0st),0.5710000000000001
258,8,HH Gibbs (SA),2005-2010,23,23,8,8,0,0,8,3 (3ct 0st),0.34700000000000003
259,9,RR Hendricks (SA),2014-2019,22,22,8,8,0,0,8,1 (1ct 0st),0.363
260,10,H Klaasen (SA),2018-2019,9,9,8,8,0,5,3,2 (2ct 0st),0.888
261,11,MJ Lumb (ENG),2010-2014,27,26,8,8,0,0,8,1 (1ct 0st),0.307
262,12,BR McDermott (AUS),2018-2019,12,11,8,8,0,0,8,3 (3ct 0st),0.727
263,13,Manpreet Singh (SGP),2019-2019,12,12,8,4,4,4,0,2 (1ct 1st),0.6659999999999999
264,14,KD Mills (NZ),2005-2014,42,42,8,8,0,0,8,1 (1ct 0st),0.19
265,15,DJ Mitchell (NZ),2019-2019,9,9,8,8,0,0,8,2 (2ct 0st),0.888
266,16,Mohammad Nadeem (OMAN),2015-2019,22,22,8,8,0,0,8,3 (3ct 0st),0.363
267,17,M Mosehle (SA),2017-2017,7,7,8,6,2,6,0,3 (2ct 1st),1.1420000000000001
268,18,Nouman Sarwar (QAT),2019-2019,14,14,8,8,0,0,8,2 (2ct 0st),0.5710000000000001
269,19,RT Ponting (AUS),2005-2009,17,17,8,8,0,0,8,2 (2ct 0st),0.47
270,20,Rameez Shahzad (UAE),2016-2019,22,22,8,8,0,0,8,2 (2ct 0st),0.363
